UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_acft_cap0,saved_mm_cap1,saved_acft_cap1,saved_mm_cap2,saved_acft_cap2,saved_mm_cap3,saved_acft_cap3
3900175,San Joaquin,2019,8.0,8,2019-07-01,2,472.001,1073.244,"[357.255, 114.746]","[Timestamp('2019-08-02 00:00:00'), Timestamp('2019-08-22 00:00:00')]",15.20154272036834,23.540496606156747,472.001,23.540496606156747,114.746,5.722822247347065,0.0,0.0,0.0,0.0
3900381,San Joaquin,2019,7.0,10,2019-07-01,2,376.46399999999994,937.6,"[296.51899999999995, 79.94500000000001]","[Timestamp('2019-08-21 00:00:00'), Timestamp('2019-09-10 00:00:00')]",49.39639158268525,61.01037782409454,376.46399999999994,61.01037782409454,79.94500000000001,12.956018783063557,0.0,0.0,0.0,0.0
3900402,San Joaquin,2019,5.0,0,2019-07-01,2,210.339,621.694,"[120.76599999999999, 89.573]","[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-08-23 00:00:00')]",12.36261824396414,8.53130170215608,210.339,8.53130170215608,89.573,3.6330603804678474,0.0,0.0,0.0,0.0
3900440,San Joaquin,2019,6.0,0,2019-07-01,2,370.65100000000007,872.4440000000001,"[196.76200000000003, 173.88900000000004]","[Timestamp('2019-07-14 00:00:00'), Timestamp('2019-08-13 00:00:00')]",39.122561577565364,47.57485751734312,370.65100000000007,47.57485751734312,173.88900000000004,22.319498392917534,0.0,0.0,0.0,0.0
3900453,San Joaquin,2019,6.0,0,2019-07-01,3,513.95,735.1779999999999,"[176.93099999999998, 181.429, 155.58999999999997]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-22 00:00:00'), Timestamp('2019-09-24 00:00:00')]",70.30843733013265,118.55321970413935,513.95,118.55321970413935,337.019,77.74041745591855,155.58999999999997,35.89005828148076,0.0,0.0
3900477,San Joaquin,2019,7.0,0,2019-07-01,3,471.13700000000006,944.175,"[160.73600000000002, 168.34600000000003, 142.05499999999998]","[Timestamp('2019-07-17 00:00:00'), Timestamp('2019-08-18 00:00:00'), Timestamp('2019-09-17 00:00:00')]",20.260185477900027,31.31667652723552,471.13700000000006,31.31667652723552,310.401,20.632486327183877,142.05499999999998,9.442456194432703,0.0,0.0
3900490,San Joaquin,2019,6.0,0,2019-07-01,2,454.22,925.1129999999999,"[326.119, 128.101]","[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-08-23 00:00:00')]",37.20058725248791,55.43717434981974,454.22,55.43717434981974,128.101,15.634620825560871,0.0,0.0,0.0,0.0
3900497,San Joaquin,2019,7.0,0,2019-07-01,3,501.274,1063.776,"[167.948, 179.662, 153.664]","[Timestamp('2019-07-18 00:00:00'), Timestamp('2019-08-22 00:00:00'), Timestamp('2019-09-24 00:00:00')]",7.4284688090753095,12.216857853675908,501.274,12.216857853675908,333.326,8.123693550701564,153.664,3.7450401282078354,0.0,0.0
3900543,San Joaquin,2019,7.0,0,2019-07-01,3,452.07200000000006,883.5200000000001,"[165.31900000000002, 165.76300000000003, 120.99000000000001]","[Timestamp('2019-07-01 00:00:00'), Timestamp('2019-07-31 00:00:00'), Timestamp('2019-08-23 00:00:00')]",65.91542037522771,97.764159842093,452.07200000000006,97.764159842093,286.75300000000004,62.012613316462186,120.99000000000001,26.165048265087933,0.0,0.0
3900659,San Joaquin,2019,8.0,0,2019-07-01,3,509.103,999.964,"[168.07000000000002, 222.39500000000004, 118.63799999999999]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-18 00:00:00'), Timestamp('2019-09-12 00:00:00')]",6.173438871558306,10.311405019117284,509.103,10.311405019117284,341.033,6.907304392008347,118.63799999999999,2.4029017088055586,0.0,0.0
3900677,San Joaquin,2019,4.0,0,2019-07-01,2,460.567,558.795,"[242.92699999999996, 217.64000000000001]","[Timestamp('2019-07-02 00:00:00'), Timestamp('2019-08-16 00:00:00')]",9.652819467221503,14.585859919815636,460.567,14.585859919815636,217.64000000000001,6.892518467342809,0.0,0.0,0.0,0.0
3900703,San Joaquin,2019,7.0,0,2019-07-01,3,543.155,976.0080000000002,"[133.759, 256.902, 152.49400000000003]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-08-21 00:00:00'), Timestamp('2019-09-24 00:00:00')]",28.859617057375473,51.427970153539285,543.155,51.427970153539285,409.396,38.7631620236919,152.49400000000003,14.438708804289424,0.0,0.0
3900735,San Joaquin,2019,4.0,0,2019-07-01,2,258.442,540.7570000000001,"[141.27300000000002, 117.169]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-13 00:00:00')]",11.571540602481088,9.811588242737589,258.442,9.811588242737589,117.169,4.448247509357305,0.0,0.0,0.0,0.0
3900755,San Joaquin,2019,4.0,0,2019-07-01,2,528.9200000000001,673.0930000000001,"[219.538, 309.382]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-08-30 00:00:00')]",1.9352237641290075,3.358197353422293,528.9200000000001,3.358197353422293,309.382,1.964315612184254,0.0,0.0,0.0,0.0
3900801,San Joaquin,2019,6.0,0,2019-07-01,2,380.56500000000005,897.324,"[181.58900000000003, 198.976]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-08-28 00:00:00')]",59.76466825670542,74.62054125693275,380.56500000000005,74.62054125693275,198.976,39.01487739844559,0.0,0.0,0.0,0.0
3900819,San Joaquin,2019,7.0,0,2019-07-01,3,397.40500000000003,929.532,"[154.212, 130.46800000000002, 112.72500000000001]","[Timestamp('2019-07-21 00:00:00'), Timestamp('2019-08-18 00:00:00'), Timestamp('2019-09-12 00:00:00')]",7.0263499484922125,9.161110896589724,397.40500000000003,9.161110896589724,243.19300000000004,5.6061651017836835,112.72500000000001,2.5985738121515247,0.0,0.0
3900864,San Joaquin,2019,6.0,0,2019-07-01,2,446.45799999999997,945.5899999999999,"[231.44799999999998, 215.01]","[Timestamp('2019-07-24 00:00:00'), Timestamp('2019-09-02 00:00:00')]",25.18563835102299,36.890845560764504,446.45799999999997,36.890845560764504,215.01,17.766286423403717,0.0,0.0,0.0,0.0
3900924,San Joaquin,2019,5.0,0,2019-07-01,2,459.986,750.807,"[283.887, 176.099]","[Timestamp('2019-08-15 00:00:00'), Timestamp('2019-09-17 00:00:00')]",31.659310169601866,47.778344644601326,459.986,47.778344644601326,176.099,18.291249545789757,0.0,0.0,0.0,0.0
3901062,San Joaquin,2019,8.0,0,2019-07-01,3,464.23900000000003,883.8470000000001,"[154.228, 161.015, 148.99600000000004]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-21 00:00:00'), Timestamp('2019-09-24 00:00:00')]",18.465055557870105,28.124012228116996,464.23900000000003,28.124012228116996,310.011,18.78074258054747,148.99600000000004,9.026310426182464,0.0,0.0
